lat,lon
40.14195482,-87.42742648
40.14228067,-87.41519615
40.14260652,-87.40296577
40.14288243,-87.39261253
40.14316391,-87.38205009
40.14343532,-87.37186644
40.1437228,-87.36107837
40.14402062,-87.34990163
40.14431843,-87.33872484
40.14461625,-87.32754801
40.14491407,-87.31637112
40.14521042,-87.30524942
40.1455015,-87.29432562
40.14578163,-87.2838136
40.14602721,-87.27460013
40.14627427,-87.26533067
40.14652406,-87.25595872
40.14677386,-87.24658674
40.14702365,-87.23721472
40.14727344,-87.22784266
40.14753614,-87.21798542
40.14774592,-87.21011648
40.1479557,-87.20224751
40.14811287,-87.19635378
40.1482673,-87.19056265
40.14843797,-87.18416242
40.14862261,-87.17723719
40.14879909,-87.17061857
40.14897557,-87.16399993
40.14915983,-87.15708895
40.1493441,-87.15017795
40.14952836,-87.14326694
40.14971263,-87.1363559
40.14993683,-87.1279448
40.15016104,-87.11953367
40.15033952,-87.11283975
40.15052696,-87.1058093
40.15070135,-87.09926911
40.15087573,-87.09272889
40.15105012,-87.08618866
40.1512245,-87.07964841
40.15139787,-87.07314643
40.15153443,-87.0680259
40.15165011,-87.06368874
40.15172754,-87.06078658
40.15173004,-87.06069296
40.15170417,-87.06166187
40.15175072,-87.05991735
40.15178116,-87.0587768
40.1518116,-87.05763625
40.15186689,-87.05556392
40.15192113,-87.05353115
40.15204596,-87.04885099
40.15217078,-87.04417082
40.15231388,-87.03880498
40.15247305,-87.03283565
40.15270351,-87.02418914
40.15293854,-87.01537097
40.15310113,-87.00927363
40.15326371,-87.00317627
40.15342629,-86.9970789
40.15358888,-86.99098152
40.15378939,-86.98345972
40.15400251,-86.97546453
40.15421563,-86.96746931
40.15436642,-86.96181477
40.1545172,-86.95616022
40.15473306,-86.94806207
40.15493847,-86.94035656
40.15520465,-86.93036746
40.1554545,-86.92099178
40.15574396,-86.91012763
40.15603946,-86.89903585
40.15629798,-86.88933467
40.15655649,-86.87963344
40.15686292,-86.86813087
40.15716935,-86.85662825
40.15743642,-86.84660517
40.15769782,-86.83679533
40.15795922,-86.82698545
40.15828809,-86.81463852
40.15864944,-86.80106942
40.15902126,-86.78710621
40.15936865,-86.7740621
40.15979836,-86.75791899
40.16023151,-86.74164626
40.16068216,-86.72471408
40.16113992,-86.70751362
40.16154038,-86.69247167
40.16192872,-86.67788597
40.16231315,-86.66344724
40.16265586,-86.65057876
40.1629978,-86.63773908
40.16333247,-86.62517296
40.1636329,-86.61389498
40.16392368,-86.60297961
40.164158,-86.59418656
40.16439827,-86.58517012
40.16463853,-86.57615365
40.16486246,-86.56775124
40.16504747,-86.56081047
40.16521537,-86.55451259
40.16536209,-86.54900964
40.16553757,-86.54242675
40.16570439,-86.53616943
40.16589842,-86.52888967
40.16610314,-86.52120861
40.16622928,-86.51647832
40.16635541,-86.51174803
40.16651539,-86.50574729
40.16671171,-86.49838177
